aX,aY,aZ,gX,gY,gZ
-0.592,2.481,1.065,-89.539,-14.954,-102.905
-0.851,2.512,1.302,-82.153,2.808,-86.792
-1.017,2.460,1.564,-69.092,26.001,-63.965
-0.953,2.350,1.755,-44.678,37.842,-32.227
-0.708,2.127,1.758,-5.676,28.198,9.949
-0.329,1.702,1.437,46.631,0.610,59.570
0.084,1.285,1.058,94.543,-25.391,100.769
0.414,0.830,0.656,125.977,-38.086,120.300
0.591,0.474,0.360,138.550,-36.621,118.835
0.620,0.187,0.152,137.634,-28.015,101.624
0.566,0.037,0.021,126.465,-17.090,76.721
0.481,0.020,-0.039,106.445,-5.432,49.500
0.375,0.084,-0.026,77.026,4.333,23.132
0.230,0.258,0.060,40.649,11.169,0.671
0.106,0.437,0.182,5.432,18.677,-15.503
0.013,0.708,0.383,-26.062,26.123,-24.719
-0.033,0.924,0.600,-47.607,30.334,-28.625
-0.061,1.065,0.734,-56.335,25.696,-23.010
-0.046,1.119,0.801,-55.908,23.804,-15.076
-0.000,1.063,0.848,-46.570,20.020,-7.568
0.051,0.950,0.870,-33.386,12.878,-0.610
0.083,0.819,0.873,-17.700,6.226,3.479
0.087,0.678,0.842,0.854,2.747,4.700
0.129,0.596,0.787,18.372,3.662,4.700
0.167,0.558,0.733,28.564,7.568,3.662
0.174,0.517,0.718,29.053,10.132,-0.488
0.162,0.554,0.727,21.118,9.705,-5.493
0.102,0.600,0.773,10.498,7.568,-9.827
0.008,0.594,0.846,2.197,3.906,-12.817
-0.085,0.593,0.918,-0.244,-0.183,-11.780
